,No,내용,날짜,조회수,태그,내용1(응답)
10,2011,"현재 상황은 곧 전세로 이사가려고 계약서작성하고 확정신고날짜도 미리 받아둔 상태입니다.등기부등본을 봤을때 문제되는건 없었던걸로 확인했습니다또, 전세랑 매매가격이 차이가 나지않아서이사(잔금날짜)에 전입신고 후 허그가입까지 할예정입니다.여기서 제가 궁금한것은요즘 전세사기가 많다고 해서 이것저것 조심스러운상태인데,이사가려고 하는 곳이집주인이 사시던 곳이예요이번에 전세로 내놓고 집주인분은 이사를 가신다고 하시더라구요저희가 이사가기전 입주청소를 위해서 조금이라도 일찍 짐을 빼주실수있냐고 요청했을때,새로운곳으로 이사갈집을 알아봐야하고 촉박해서 어려울것같다고 하셨었거든요근데 대화중간중간에 이미 다른지역에 집에 있는 상태이신것처럼 말씀을 하셨고이미 집이 두채인것같은 뉘앙스를 여러번 받았는데 일부러 숨기실필요가 있으신건가요?혹시라도 이부분을 숨기고 제가 세입자로 들어갔을때제가 피해보는상황이 생기는게 있나요?괜히 하나하나 신경쓰여서 질문드립니다ㅠ",2022.01.15,282.0,전세,         임대인이 집이 몇채가있건 hug반환보증보험 가입되면 보증금 전액을 보험을 드는건데 문제가 없어보입니다집에 근저당 설정만 없다면요     
11,2012,"계약서상 이상한점이 있어서 질문드립니다.  중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. 근데 좀 특이한것이 채무자가 새로운 집주인이고, 근저당자는 전 집주인 입니다. 참고로 소유권이전, 근저당날짜, 계약날짜 모두 동일합니다.  제가 추측하기로는 계약당시 근저당이 없는척을 하기 위해, 1. 아침에 소유권만 이전하고 2. 점심시간에 전세계약(근저당이 없으니)3. 근저당 설정 (채무자-> 새 집주인 ,  근저당자-> 전 집주인)  이렇게 한것은 아닐지 생각이 되는데요,,근데 제가 알기로 이런경우는 소유권이전과 근저당설정을 동시에 해야하는것으로 알고 있는데, 어떻게 된 것일까요?.,,,",2022.09.06,31.0,전세,"         1. 아침에 소유권만 이전하고 2. 점심시간에 전세계약(근저당이 없으니)3. 근저당 설정 (채무자-> 새 집주인 ,  근저당자-> 전 집주인)  ​<답변> 당일에 근저당 대출을 신청한다고 당일에 나오지 않습니다.심사 절차가 있으니 아무리 빨라도 2~3일, 1주일 정도는 걸립니다.미리 대출은 신청해 놓았을 수 있고,그 대출을 새로운 소유자가 승계한 것일 수도 있습니다.그런 것은 중요하지 않고 전입신고하는 날이 근저당보다 전인지? 후인지가 중요 합니다.     "
12,2013,안녕하세요 전세집 계약을 했는데 사기위험이 있는지 알고싶습니다. 현재 이미 계약을 다진행해서 전입 날짜 까지 받았는데요 걱정되는점은 처음에 근저당이 잡혀있었습니다 다만 그건 계약 진행하며 전세금 입금후에 바로 풀어줬습니다.그리고 매매가가 2억 3천 정도 인데 전세금으로 2억 5천을 줬어요 전세금이 매매가보다 많아요 이점이 특히 걱정입니다.참고로 계약시 주인 본인이 나와서 계약 하였습니다.지금 제일 걱정인 부분이 후에 계약이 끝날때 주인이 돈이 없다하고 집이 경매로 넘어가 전세금을 재대로 못받을게 걱정입니다. 근저당 풀어주고 주인이 직접 계약하러 나온점등을 생각해서 그럴걱정은 크지 않다고 봐도 될까요? 그리고 혹시 정말 경매로 넘어가서 전세금을 재대로 돌려받지 못한다면 어떻게 하는게 좋을까요?이 걱정으로 너무 스트레스 받고있어서 꼭좀 답변 부탁 드립니다!,2022.08.07,252.0,전세,"         질문자의 말씀을 전제로 판단할 때, 지금 상당히 안 좋은 상황입니다. 전세기간이 만료할 당시 부동산 경기에 따라 원만한 전세금반환 여부가 결정될 것으로 보입니다.​지금 상황에서는 질문자께서 우선 임대차계약서에 확정일자를 받으시고, 별도로 전세권등기도 설정받으시기를 권유 드립니다. 즉, 이중의 안전장치를 마련하시는 것입니다.​등기사항증명서에 시세보다 많은 전세권이 설정되었다면, 소유자(임대인)의 채권자들이 좀처럼 경매신청하지 않고, 경매절차에서 낙찰되기도 쉽지 않습니다. 왜냐하면 최선순위 전세권자가 배당요구를 하지 않으면, 경락인이 전세권을 인수하도록 되어 있기 때문입니다.​​     "
13,2014,,,,,"         질문자의 말씀을 전제로 판단할 때, 지금 상당히 안 좋은 상황입니다. 전세기간이 만료할 당시 부동산 경기에 따라 원만한 전세금반환 여부가 결정될 것으로 보입니다.​지금 상황에서는 질문자께서 우선 임대차계약서에 확정일자를 받으시고, 별도로 전세권등기도 설정받으시기를 권유 드립니다. 즉, 이중의 안전장치를 마련하시는 것입니다.​등기사항증명서에 시세보다 많은 전세권이 설정되었다면, 소유자(임대인)의 채권자들이 좀처럼 경매신청하지 않고, 경매절차에서 낙찰되기도 쉽지 않습니다. 왜냐하면 최선순위 전세권자가 배당요구를 하지 않으면, 경락인이 전세권을 인수하도록 되어 있기 때문입니다.​​     "
14,2015,깡통전세 사기에 대한 질문드립니다.전세계약을 처음 했었는데 아무래도 사기를 당한 것 같아요. 가격이 시세보다 비싸도 요즘에 워낙 전세가 귀하다보니대출을 좀 무리하게 받으면서까지 계약을 했습니다.그런데 집주인이 연락이 안 되고 잠수를 탔어요.부동산도 계속 차일 피일 미루고 집은 경매처리가되었다고 합니다. 전세보증금 돌려받을 수 있을까요?,2022.03.24,263.0,부동산,"         깡통전세 사기 당하셨군요...보증금 돌려받으실 마음 있으시면 일단변호사 선임부터 하셔야할 것 같습니다. 전 2년 전에 부동산 사기를 당한 적이 있습니다.부동산소송은 되게 까다롭고 자료 챙길 것도 많아서시간이랑 에너지 소요 많아서 도저히 혼자선 못하겠더라고요.그래서 법무법인 휘명에 계신 고영남 변호사님 소개 받아서이 분 도움 받아 소송했습니다. 민사, 형사 전문 변호사셔서일 하나는 확실하게 해주셨네요.010-2035-5157 이게 변호사님 휴대폰 번호에요. 문자나 전화하셔서 상담신청해 보세요. 깡통전세 사기나 부동산사기 등 사기죄 소송 경험이 많으신 변호사님이니 도움 많이 주실거에요.     "
15,2016,안녕하세요올해 2월에전세사기대출로 경찰서에서 연락와서 조사를 받았습니다소위 작업대출로 제가 명의를 빌려줘서 임대차계약서를 작성해서 은행에 제명의로 전세대출을 해 저는 전세계약한 집에는 안살고 있는 그런건데요..2년전에 9월에 계약를해서 이제 2년만기가되었는데 형사건와 부동산건으로 질문이있습니다1.그집에대해서 집주인이 은행에게 돌려줄까요??여기저기 검색해봣는데 은행에서 그집에대해 등기부를 출력해서그집에 가당?? 그집에대한 대출이있는지 확인을하고 준다고하는데 만약 집주인이 배째라하고 은행에 전세금 안주면 그집이 압류당하는건가요?? 경매로 넘어간다는 걸 검색해서알아봤는데 제가 혹시나 지금 검색을 해봣는데 지금 그집 가격이 6천에 매매가 이고제가 전세계약할때 은행에서 7천을 받앗는데그러면 집주인이 배째라고하고 그집을 경매에부치면 그 시간과 전세계약할때 이자도 순전히 제가 내야하는거고복잡할꺼같은데어떻게되나요?2저번두에 대전검찰청에서 형사건으로 접수가되었는데여기서 경찰에서 조사할때 사실대로 말하면 판사가 집행유예쥴수도있다고 했는데이게 저도 아닌거같아서 변호사 상담을 받고싶은데 이경우 다른 판례나 저랑 비슷한 처지로 일이 일어나신분잇으신가요??,2021.07.12,1655.0,금융상품담보대출,"                    징역 그냥 살아 수고해                                                                                                            너같은 애들이지금 헬조선에 한둘인 줄 아니?그 집에 다른 새끼가 전세대출로 입주를 못해요~선량한 피해자 만들기 -> 무조건 징역형 ㅅㄱ                                                                                                                                             ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ​잘 모르시면 HUG 에 전화해서 상황파악부터 하시기 바랍니다.​051-955-5723 이동섭051-955-5792 권혁​HUG 담당자 실제 내선번호 입니다.​공시가 2억 (150% HUG 3억)​그런데?- 매매가 2.5억- 전세가 2.9억-> 4000만원 역전세 사기 치고 + 세입자는 보증보험 들어짐​HUG 갭투기 사기 피해자 모임, 실제 피해 사례글http://naver.me/GsTB9TKc​HUG 보증보험 = 국가가 만든 역전세 카르텔http://naver.me/xyU4UmBv​허그안심 = X허그병신 = O     "
16,2017,"현재 상황은 곧 전세로 이사가려고 계약서작성하고 확정신고날짜도 미리 받아둔 상태입니다.등기부등본을 봤을때 문제되는건 없었던걸로 확인했습니다또, 전세랑 매매가격이 차이가 나지않아서이사(잔금날짜)에 전입신고 후 허그가입까지 할예정입니다.여기서 제가 궁금한것은요즘 전세사기가 많다고 해서 이것저것 조심스러운상태인데,이사가려고 하는 곳이집주인이 사시던 곳이예요이번에 전세로 내놓고 집주인분은 이사를 가신다고 하시더라구요저희가 이사가기전 입주청소를 위해서 조금이라도 일찍 짐을 빼주실수있냐고 요청했을때,새로운곳으로 이사갈집을 알아봐야하고 촉박해서 어려울것같다고 하셨었거든요근데 대화중간중간에 이미 다른지역에 집에 있는 상태이신것처럼 말씀을 하셨고이미 집이 두채인것같은 뉘앙스를 여러번 받았는데 일부러 숨기실필요가 있으신건가요?혹시라도 이부분을 숨기고 제가 세입자로 들어갔을때제가 피해보는상황이 생기는게 있나요?괜히 하나하나 신경쓰여서 질문드립니다ㅠ",2022.01.15,282.0,전세,         임대인이 집이 몇채가있건 hug반환보증보험 가입되면 보증금 전액을 보험을 드는건데 문제가 없어보입니다집에 근저당 설정만 없다면요     
17,2018,"계약서상 이상한점이 있어서 질문드립니다.  중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. 근데 좀 특이한것이 채무자가 새로운 집주인이고, 근저당자는 전 집주인 입니다. 참고로 소유권이전, 근저당날짜, 계약날짜 모두 동일합니다.  제가 추측하기로는 계약당시 근저당이 없는척을 하기 위해, 1. 아침에 소유권만 이전하고 2. 점심시간에 전세계약(근저당이 없으니 제가 안심하고 전세계약)3. 오후에 근저당 설정 (채무자-> 새 집주인 ,  근저당자-> 전 집주인)  이렇게 한것은 아닐지 생각이 되는데요,,근데 제가 알기로 이런경우는 소유권이전과 근저당설정을 동시에 해야하는것으로 알고 있는데, 어떻게 된 것일까요?.,,,",2022.09.06,29.0,전세,"         계약서상 이상한점이 있어서 질문드립니다. 중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. ---> 그런 경우라면 잔금일에 님의 잔금으로 매매대금의 잔금을 치렀을 것인데 그 날 돈이 부족하여 저당권설정을 하여 님보다는 우선순위의 담보대출을 받았을 가능성이 있으므로 대출을 받았다면 님의 임차권이후순위가 될 것이므로 문제가 있겠지요, 저당권 설정이 되었는지 확인 해 보시기 바랍니다.​     "
18,2019,"성별은 여자이며, 전 연인관계에 있던 남자에게 명의를 빌려주어 건물주가 되어 본인 통장으로 전세금을 관리하고 있었는데, 그 남자는 이 뿐만 아니라 다른 바지사장들을 이용하여서도 다른 건물들의 보증금을 관리를 하려다 그 돈으로 사업이나, 도박 으로 그 보증금을 날리게 되어 경찰조사가 들어간 상황인데 지인은 명의만 빌려줬지 그 것으로 인해 부당한 이익을 취하지 않았습니다. 조사는 피의자 조사로 시작은 하였는데, 저 같은 경우는 어떻게 사건 마무리가 될까요?또한 혐의가 없더라도 세입자들에 대한 채무는 떠 안아야 하는 상황인가요?",2021.10.13,74.0,"재판, 소송 절차","         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​부동산 전세사기 예방 대처방안에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다. ​              부동산 전세사기, 예방/대처하는 방법 알려드려요 부동산 전세사기 안녕하세요. 케이엔파트너스 부동산법률연구소입니다. 오늘은 ""부동산 전세사기&quot... blog.naver.com            ​     "
19,2020,"다세대 빌라 전세 계약 하기로 했는데 어떤 걸 확인해야 사기를 안 당할 수 있나요?다세대빌라이고, 각 호수마다 집주인이 다릅니다전세안심대출 받기로 했는데, 은행에서 더 꼼꼼히 봐줄까요?",2022.02.21,231.0,전세,"         반가워요 제가 답변을 드릴게요!​안전거래 분쟁방지를 위해 변호사와 함께 하는 강남집사부동산입니다.질문자님에게 아래와 같은글이 도움이 될까 하여 관련글 남겨두고 가겠습니다!​​많은 분들이 빌라, 오피스텔, 아파트 전세(월세)계약을 하고 계십니다. 그런데 부동산 계약 경험이 없는 분들이 집을 계약한다는 것이 보통 어려운 일이 아닙니다.​집주인이 전세금을 갚지 않은 사례만 3년 만에 무려 130배 가까이 늘었다고 하며, 신문, 방송에서 보듯이 전월세 사기가 판을 치고 보증금을 떼인다든가 하는 문제가 많이 발생하는 요즘, 도무지 알기 힘든 임대차보호법에 대해서 알아보고 소중한 내 보증금을 지키는 방법에 대해서 알려드리고자 합니다.​아래에 링크해 둔 곳에 잘 정리되어 있으니 참고하시기 바랍니다.부동산 거래시 유의점 - 전세(월세) 임대 계약시 10가지 주의사항              부동산 거래시 유의점 - 전세(월세) 임대 계약시 10가지 주의사항 #부동산거래시유의점 #부동산거래시주의사항 #전세임대계약시주의사항 #월세세임대계약시주의사항 #부동산... blog.naver.com            .추가로 알아두시면 도움이 되는 상식​▶ 강남아파트 빌라 전세•월세 계약시 유의사항 놓치면 후회막급▶ 부동산 아파트 매매.전세계약 특약만 잘 적어도 내재산 떼일 걱정 'No'▶ 부동산 월세.전세계약 특약에 아무리 써놔도 소용없는 특약 3가지​▶ 전세세입자 전세권등기, 임차권등기 설정 차이점과 장단점▶ [민법] 전세집 수리 비용범위- 보일러수리, 벽지곰팡이, 누수 책임 누구에게?​▶ 깡통전세 아파트, 오피스텔, 원룸, 빌라 '부동산 전세사기' 유형 피하려면▶ ‘전세보증금반환보증보험’ 가입, 전세자금보증 5가지 궁금증▶ 전세보증금 보호하는법, 확정일자효력VS전세권설정등기 받는법▶​집주인에게 전세금 돌려받기 위해 전세계약&반환소송 하는 방법​해당 답변으로 조금이라도 도움이 되셨으면 합니다!^^     "
20,2021,중기청 대출로 전세집으로 이사를 가려하는데 전세사기로 말이 많아서 융자가 없는 집이나 융자 말소 조건이 가능한 집으로 이사를 하려고 하는데이런 집은 전세 사기 당할 확률 없나요??,2022.08.27,88.0,부동산담보대출,         융자없다면 괜찮은데 시세대비 전세가가높다면 피해야죠     
21,2022,"1. 신혼부부전세대출로 진행시 80,90프로까지 대출이나오게될경우, 요즘난리인 전세사기, 깡통전세등 사기의 가능성이있을까요?2. 부동산에서 연결시켜준 대출상담사와 전화로 조건을 확인해보고 대출이 이만큼나올수있을것같다하여 , 계약금을 지불하고 진행중이다가도 부결이 될 수가있나요?3. 부결이된다면 계약금은 돌려받을수있나요?",2022.08.18,663.0,전세,"         1. 신혼부부전세대출로 진행시 80,90프로까지 대출이나오게될경우, 요즘난리인 전세사기, 깡통전세등 사기의 가능성이있을까요?=> 금융기관에서 임대보증금을 대출해 줄 때는  나름대로 깡통전세의 우려가 있는지를 따져봅니다.      채권회수에 문제가 생길 수 있다면  금융기관은 대출을 거절하기 마련입니다.      하지만 대출을 받았다고 해서  위험이 사라지는 것은 아니며,      차입자의 책임이나 의무가 사라지는 것도 아닙니다.​2. 부동산에서 연결시켜준 대출상담사와 전화로 조건을 확인해보고 대출이 이만큼나올수있을것같다하여 , 계약금을 지불하고 진행중이다가도 부결이 될 수가있나요?=> 대출상담사가 은행을 대표하는 사람이 아니므로 부결될 수도 있습니다.​3. 부결이된다면 계약금은 돌려받을수있나요?=> 계약을 그리 정하면 돌려받을 수 있으나,  그런 조건을 용납하지 않는 주인도 많습니다.     "
22,2023,"1. 신혼부부전세대출로 진행시 80,90프로까지 대출이나오게될경우, 요즘난리인 전세사기, 깡통전세등 사기의 가능성이있을까요?2. 부동산에서 연결시켜준 대출상담사와 전화로 조건을 확인해보고 대출이 이만큼나올수있을것같다하여 , 계약금을 지불하고 진행중이다가도 부결이 될 수가있나요?3. 부결이된다면 계약금은 돌려받을수있나요?",2022.08.18,663.0,전세,"         1. 신혼부부전세대출로 진행시 80,90프로까지 대출이나오게될경우, 요즘난리인 전세사기, 깡통전세등 사기의 가능성이있을까요?=> 금융기관에서 임대보증금을 대출해 줄 때는  나름대로 깡통전세의 우려가 있는지를 따져봅니다.      채권회수에 문제가 생길 수 있다면  금융기관은 대출을 거절하기 마련입니다.      하지만 대출을 받았다고 해서  위험이 사라지는 것은 아니며,      차입자의 책임이나 의무가 사라지는 것도 아닙니다.​2. 부동산에서 연결시켜준 대출상담사와 전화로 조건을 확인해보고 대출이 이만큼나올수있을것같다하여 , 계약금을 지불하고 진행중이다가도 부결이 될 수가있나요?=> 대출상담사가 은행을 대표하는 사람이 아니므로 부결될 수도 있습니다.​3. 부결이된다면 계약금은 돌려받을수있나요?=> 계약을 그리 정하면 돌려받을 수 있으나,  그런 조건을 용납하지 않는 주인도 많습니다.     "
23,2024,중기청 대출로 전세집으로 이사를 가려하는데 전세사기로 말이 많아서 융자가 없는 집이나 융자 말소 조건이 가능한 집으로 이사를 하려고 하는데이런 집은 전세 사기 당할 확률 없나요??,2022.08.27,88.0,부동산담보대출,         융자없다면 괜찮은데 시세대비 전세가가높다면 피해야죠     
24,2025,제가 전세사기를 당한 거 같아요.직장을 옮기게 되면서 전셋집을 새로 마련했는데요.이사를 하려고 보니까 이미 들어와서 살고있는 분이 계시더라구요.알고보니까 집 주인이 그분이랑 저랑 이중계약을 한 것 같아요.집주인은 연락을 받지도 않고 이미 그 집에 살고계신 분은 본인이 먼저 들어왔으니 저더러 알아서 하라는데..이런 경우는 어떻게 해야하나요?지금 너무 어이가 없고 당장 내일부터는 어떻게 살아야할지 막막하네요.변호사상담이라도 받아보고 어떻게 대응해야할지 정해보려고 합니다.수원부동산전문변호사 알고 계신 분들은 추천해주세요.,2022.10.07,95.0,부동산,"         이런 경우를 대비해서 국가에서 운영하는 무료법률구조공단 / 임대차분쟁위원회라고 있음방문, 전화상담 모두 무료이며 상담사가 변호사로 알고 있음위 내용을 잘 정리하시여 상담받아 원만히 해결되시길     "
25,2026,한참 대출도 막히고 집계약은 만료가 되고해서 급하게 구하다보나 흔히 말하는 깡통전세사기를 당한거 같습니다 제가 제대로 잘 안알아본 탓이겠죠 ㅠㅠ 어떻게 대처해야할까요?전세보증금 2억8900에은행대출 2억6천 돈 2900넣고 들어갔습니다.계약 한달 후 임대인이 바뀌었고 7개월 쯤 살던 중집이 경매로 넘어갔습니다. 임대인의 핸드폰은 착신금지로연락조차 되지 않습니다.다행히 전세보증보험(전액) 을 들어 놓긴 했습니다.변호사?법무사? 에 가서 상담을 받아봐야할까요?보증공사 측에서는 우선 배당에 참여하고연락안되는 임대인에 내용증명 및 공시송달 까지 다 이행하고배당받은 금액 에서 손해본 금액을 청구하라고 하는거 같은데제가 어떻게 대응해야할까요?아직 계약기간이 1년5개월정도 더 남았는데제가 어떻게 해야해나요 ㅠㅠ 사회초년생이라 용어도 너무 어려워서 어떤식으로 대처를 해야할지 보증공사말만믿고 하라는데로만 하면 끝인지 전혀 모르겠네요,2022.05.24,389.0,전세,"         일단 배당요구해서 못받은 돈은 보험에서 받으면 됩니다.돈 많이 쓰고 변호사나 법무사 상담 받을 필요는 없습니다.배당요구 종기일 안에 권리신고 및 배당요구서를 써서 내면 됩니다.확정일자 받은 계약서, 등본, 신분증 챙겨서 법원에 가면 됩니다.누가 낙찰 받으면 배당기일 정해지고 배당 받으러 오라고 할 것입니다.​     "
26,2027,"전세 계약 전 이리저리 알아보고있습니다.사기사례를 위주로 알아보고사기수법들을 파악하고있는데요..주로# 특약에 보증보험에 가입하겠다고 써놓고, 그냥 계약서 쓰고 (가입안하고) 잠적 해버린다던가# 새 집주인이 들어왔고, 새 집주인에게 기존 폭탄수준의 체납된 세금이 있다.이런 형태가 많은것으로 알고있습니다.질문입니다.1. 특약을 써놓아도 아무런 책임이 없나요? 그냥 배 째버리면 특약을 근거로 유리한 대응이 불가한가요?2. 전세계약 전에 ㄱ.전세율이 최대한 낮고 (원하는건 70~80%이지만, 현실 매물이 없어서 아무리 높아도 85%이하)ㄴ.근저당이없으며ㄷ.임대인의 세금관련 기록(국세/지방세) 확인하고 계약할것인데.이 외에도 확인해야할 부분이 있을까요?3. 전세보증보험이 뭐 이리저리 말많다고해도, 유일한 희망으로써 남기고자 꼭 가입을 하려고합니다.다만 아래 캡처본이 잘 이해가 안가는데요.""표준임대차 계약을 체결할때 (임대인) 본인이와서(당일날) 보증보험을 들지 않으면 계약 전체를 무효로 한다거나""이 부분은 무슨 뜻인가요?계약금 넣는날. 그러니까, 계약일(잔금일 말고.)날 보증보험을 들지 않으면 무효로 한다는것이 가능한가요?제가 알기로 보증보험은 (이미 완료된)계약서와 등기부등본 등 각종 서류를 들고 가야한다고 알고있습니다. 처리에도 수 일이 걸릴수 있다고 알고있고요.당일날 보증보험을 들지않으면 무효로 한다는것이 가능한가요?'보증보험가입불가시 계약 무효로한다.'라는 특약 기재하고, 계약금만 넣고, 잔금을 넣지않고 보증보험 가입심사를 받고 난 뒤 잔금을 넣는다는 뜻 일까요?잔금 넣지도않았는데 보증보험가입이 될 지도 의문입니다.4.윗 질문에 이어지는 부분이긴한데.""(유일한 방법이 있다면) 잔금치를 때 임대인 손잡고 가서 보증보험을 같이 들면 되죠.""라는 부분 또한 제 상식선에선 이해가 잘 안갑니다. (보증보험 가입 심사에 몇 일이 걸릴텐데....)어떻게 이해해야할까요?전세보증보험 관련 검색해보면 보증 보험이 사기극이니 뭐니 하지 말라고 적극 홍보하시는 분이 있던데평소 걱정이 많아서, 안해도 될 걱정들을 산더미처럼 하고 사는 제 성격상전세보증보험은 무조건 들 예정입니다.(무작정도아니고 보증보험 취약점인 대항력발생 이전시점, 기존 세금체무 등은 최대한 잘 알아보고 회피할겁니다.)그렇기에 전세보증보험이 쓸모없다니, 뭐 집주인 배를 불려준다니 그런 걱정 증폭시키고 상처되는 소리 하지말아달라고 노파심에 남겨봅니다.",2022.06.15,247.0,전세,"         안녕하세요?​임차인 입장에서 특히 전세 계약은 많은 걱정을 만들게 되지요​귀하가 생각하시는 대로 전세 보증보험을 가입하시면 이중으로 안전장치를 만드는 것이니효과는 있다고 봅니다.​다만 비용(보험료) 이 드니  비용 대비 효과가  있어야 겠지요예를 들어 만기시 보증금 잘 돌려줄 임대인 만나면 보험료는 아까운게 될테니까요..​상기 예는 임대인이 민간주택임대 사업자인 경우를 말한 것입니다이러한 임대인은 보험 가입이 의무 이고 표준임대차 계약서로 계약하거든요그리고 계약시 보험 가입 한다는 뜻은  보험 가입을 위한 접수를 의미하는것으로 봐야겠죠보험기간은 임대차 계약기간에 따를테니까요.​제가 현실적인 조언을 드리면  부동산이  인근에서 오래된 부동산인지 해당 물건을 여러번 취급해 본 부동산인지임대인이  이미 다른사람을 임대차 계약을 했었고 그간  보증금을 주는데 문제는 없었던 분인지이런것을 알아보시는것도 상기의 어떤것 못지않게  중요하다 생각됩니다​등기부 등본, 보증보험 등은 기본적으로 누구나 살펴보고 진행할수 있는 일이지만​임대차에서 가장 중요한 임대인 ,   즉 보증금 돌려줄 사람이 어떤사람인가를 아는것이 중요하다생각해요그런데 이 임대인을 가장 잘 알수 있는 사람은 중개업소 이겠죠물론 100프로 다 임대인을 잘알진 못하겠지만요.​결론적으로 임대인을 과거부터 잘 아는 부동산에서 중개하는 것은 좀더 믿음이 가는 물건이라생각합니다. ​등기부등본(대항력)+ 보증보험+지역에서 오랜 영업중인 부동산 + 부동산이 임대인을 과거부터 케어한 이력 등을 더하신다면 더 안전한 계약이 되지 않을가 판단됩니다​참고하세요​​​     "
